codigo,rival,fase,gf,gc,resultado,delta_conf
MEX,RSA,grupos,2,0,V,0.03
RSA,MEX,grupos,0,2,D,-0.03
KOR,CZE,grupos,2,1,V,0.835
CZE,KOR,grupos,1,2,D,-0.835
CAN,BIH,grupos,1,1,E,-1.69
BIH,CAN,grupos,1,1,E,1.69
USA,PAR,grupos,4,1,V,1.165
PAR,USA,grupos,1,4,D,-1.165
QAT,SUI,grupos,1,1,E,1.858
SUI,QAT,grupos,1,1,E,-1.858
BRA,MAR,grupos,1,1,E,-0.878
MAR,BRA,grupos,1,1,E,0.878
HAI,SCO,grupos,0,1,D,-0.081
SCO,HAI,grupos,1,0,V,0.081
AUS,TUR,grupos,2,0,V,4.133
TUR,AUS,grupos,0,2,D,-4.133
GER,CUW,grupos,7,1,V,0.004
CUW,GER,grupos,1,7,D,-0.004
NED,JPN,grupos,2,2,E,-1.228
JPN,NED,grupos,2,2,E,1.228
CIV,ECU,grupos,1,0,V,3.093
ECU,CIV,grupos,0,1,D,-3.093
SWE,TUN,grupos,5,1,V,1.737
TUN,SWE,grupos,1,5,D,-1.737
ESP,CPV,grupos,0,0,E,-1.875
CPV,ESP,grupos,0,0,E,1.875
BEL,EGY,grupos,1,1,E,-1.713
EGY,BEL,grupos,1,1,E,1.713
KSA,URU,grupos,1,1,E,1.828
URU,KSA,grupos,1,1,E,-1.828
IRN,NZL,grupos,2,2,E,-1.858
NZL,IRN,grupos,2,2,E,1.858
FRA,SEN,grupos,3,1,V,0.103
SEN,FRA,grupos,1,3,D,-0.103
IRQ,NOR,grupos,1,4,D,-0.215
NOR,IRQ,grupos,4,1,V,0.215
ARG,ALG,grupos,3,0,V,0.025
ALG,ARG,grupos,0,3,D,-0.025
AUT,JOR,grupos,3,1,V,0.17
JOR,AUT,grupos,1,3,D,-0.17
POR,COD,grupos,1,1,E,-1.856
COD,POR,grupos,1,1,E,1.856
GHA,PAN,grupos,1,0,V,3.518
PAN,GHA,grupos,0,1,D,-3.518
UZB,COL,grupos,1,3,D,-0.041
COL,UZB,grupos,3,1,V,0.041
MEX,KOR,grupos,1,0,V,0.305
KOR,MEX,grupos,0,1,D,-0.305
CZE,RSA,grupos,1,1,E,-1.246
RSA,CZE,grupos,1,1,E,1.246
CAN,QAT,grupos,6,0,V,0.376
QAT,CAN,grupos,0,6,D,-0.376
BRA,HAI,grupos,3,0,V,0.002
HAI,BRA,grupos,0,3,D,-0.002
SCO,MAR,grupos,0,1,D,-0.083
MAR,SCO,grupos,1,0,V,0.083
USA,AUS,grupos,2,0,V,1.798
AUS,USA,grupos,0,2,D,-1.798
TUR,PAR,grupos,0,1,D,-2.893
PAR,TUR,grupos,1,0,V,2.893
GER,CIV,grupos,2,1,V,0.142
CIV,GER,grupos,1,2,D,-0.142
ECU,CUW,grupos,0,0,E,-1.866
CUW,ECU,grupos,0,0,E,1.866
TUN,JPN,grupos,0,4,D,-0.126
JPN,TUN,grupos,4,0,V,0.126
