codigo,rival,fase,gf,gc,resultado,delta_conf
MEX,RSA,grupos,2,0,V,0.017
RSA,MEX,grupos,0,2,D,-0.017
KOR,CZE,grupos,2,1,V,1.276
CZE,KOR,grupos,1,2,D,-1.276
CAN,BIH,grupos,1,1,E,-1.576
BIH,CAN,grupos,1,1,E,1.576
USA,PAR,grupos,4,1,V,4.683
PAR,USA,grupos,1,4,D,-4.683
QAT,SUI,grupos,1,1,E,1.873
SUI,QAT,grupos,1,1,E,-1.873
BRA,MAR,grupos,1,1,E,-1.512
MAR,BRA,grupos,1,1,E,1.512
HAI,SCO,grupos,0,1,D,-0.109
SCO,HAI,grupos,1,0,V,0.109
AUS,TUR,grupos,2,0,V,4.381
TUR,AUS,grupos,0,2,D,-4.381
GER,CUW,grupos,7,1,V,0.008
CUW,GER,grupos,1,7,D,-0.008
NED,JPN,grupos,2,2,E,-1.058
JPN,NED,grupos,2,2,E,1.058
CIV,ECU,grupos,1,0,V,3.381
ECU,CIV,grupos,0,1,D,-3.381
SWE,TUN,grupos,5,1,V,0.618
TUN,SWE,grupos,1,5,D,-0.618
ESP,CPV,grupos,0,0,E,-1.874
CPV,ESP,grupos,0,0,E,1.874
BEL,EGY,grupos,1,1,E,-1.612
EGY,BEL,grupos,1,1,E,1.612
KSA,URU,grupos,1,1,E,1.791
URU,KSA,grupos,1,1,E,-1.791
IRN,NZL,grupos,2,2,E,-1.769
NZL,IRN,grupos,2,2,E,1.769
FRA,SEN,grupos,3,1,V,0.047
SEN,FRA,grupos,1,3,D,-0.047
IRQ,NOR,grupos,1,4,D,-0.025
NOR,IRQ,grupos,4,1,V,0.025
ARG,ALG,grupos,3,0,V,0.029
ALG,ARG,grupos,0,3,D,-0.029
AUT,JOR,grupos,3,1,V,0.31
JOR,AUT,grupos,1,3,D,-0.31
POR,COD,grupos,1,1,E,-1.843
COD,POR,grupos,1,1,E,1.843
GHA,PAN,grupos,1,0,V,2.933
PAN,GHA,grupos,0,1,D,-2.933
UZB,COL,grupos,1,3,D,-0.02
COL,UZB,grupos,3,1,V,0.02
MEX,KOR,grupos,1,0,V,0.129
KOR,MEX,grupos,0,1,D,-0.129
CZE,RSA,grupos,1,1,E,-1.349
RSA,CZE,grupos,1,1,E,1.349
CAN,QAT,grupos,6,0,V,0.052
QAT,CAN,grupos,0,6,D,-0.052
BRA,HAI,grupos,3,0,V,0.003
HAI,BRA,grupos,0,3,D,-0.003
SCO,MAR,grupos,0,1,D,-0.366
MAR,SCO,grupos,1,0,V,0.366
USA,AUS,grupos,2,0,V,3.205
AUS,USA,grupos,0,2,D,-3.205
TUR,PAR,grupos,0,1,D,-2.297
PAR,TUR,grupos,1,0,V,2.297
GER,CIV,grupos,2,1,V,0.246
CIV,GER,grupos,1,2,D,-0.246
ECU,CUW,grupos,0,0,E,-1.87
CUW,ECU,grupos,0,0,E,1.87
TUN,JPN,grupos,0,4,D,-0.055
JPN,TUN,grupos,4,0,V,0.055
BEL,IRN,grupos,0,0,E,-1.518
IRN,BEL,grupos,0,0,E,1.518
NZL,EGY,grupos,1,3,D,-0.25
EGY,NZL,grupos,3,1,V,0.25
ESP,KSA,grupos,4,0,V,0.002
KSA,ESP,grupos,0,4,D,-0.002
URU,CPV,grupos,2,2,E,-1.732
CPV,URU,grupos,2,2,E,1.732
FRA,IRQ,grupos,3,0,V,0.001
IRQ,FRA,grupos,0,3,D,-0.001
NOR,SEN,grupos,3,2,V,0.523
