codigo_fifa,confederacion,grupo,rating_inicial,rank_inicial,rating_actual,n_partidos,rank_actual,delta_rating,delta_rank
ARG,CONMEBOL,J,2000,1,2000.352,3,1,0.352,0
ESP,UEFA,H,1991.491,2,1979.87,4,2,-11.621,0
FRA,UEFA,I,1978.162,3,1979.574,4,3,1.413,0
ENG,UEFA,L,1836.294,4,1828.356,4,4,-7.938,0
BRA,CONMEBOL,C,1629.676,6,1632.937,4,5,3.261,1
POR,UEFA,K,1636.291,5,1627.061,4,6,-9.23,-1
MAR,CAF,C,1593.91,7,1594.666,4,7,0.755,0
NED,UEFA,F,1588.825,8,1581.579,4,8,-7.246,0
BEL,UEFA,G,1551.164,9,1520.232,4,9,-30.932,0
GER,UEFA,E,1529.658,10,1489.803,4,10,-39.855,0
CRO,UEFA,L,1460.187,11,1446.661,4,11,-13.526,0
COL,CONMEBOL,K,1405.275,12,1413.02,3,12,7.745,0
MEX,CONCACAF,A,1369.144,13,1382.967,4,13,13.824,0
SEN,CAF,I,1357.809,14,1343.409,4,14,-14.399,0
USA,CONCACAF,D,1315.129,16,1303.858,4,15,-11.271,1
URU,CONMEBOL,H,1321.245,15,1296.062,3,16,-25.183,-1
JPN,AFC,F,1283.053,17,1277.984,4,17,-5.069,0
SUI,UEFA,B,1244.761,18,1248.389,4,18,3.628,0
IRN,AFC,G,1143.446,19,1135.462,3,19,-7.984,0
TUR,UEFA,D,1097.409,20,1070.35,3,20,-27.059,0
AUT,UEFA,J,1069.72,22,1066.803,4,21,-2.917,1
ECU,CONMEBOL,E,1073.443,21,1057.255,4,22,-16.188,-1
KOR,AFC,A,1050.541,23,1027.177,3,23,-23.364,0
AUS,AFC,D,1009.689,24,1021.465,3,24,11.776,0
NOR,UEFA,I,936.894,28,979.487,4,25,42.593,3
ALG,CAF,J,982.067,25,974.444,4,26,-7.623,-1
EGY,CAF,G,953.282,26,971.026,3,27,17.744,-1
CAN,CONCACAF,B,943.675,27,940.044,4,28,-3.631,-1
CIV,CAF,E,881.816,29,886.034,4,29,4.218,0
PAN,CONCACAF,L,876.132,30,850.847,3,30,-25.286,0
SWE,UEFA,F,778.507,31,809.506,4,31,30.999,0
PAR,CONMEBOL,D,763.749,33,807.598,4,32,43.849,1
SCO,UEFA,C,757.068,34,756.962,3,33,-0.106,1
CZE,UEFA,A,765.045,32,751.772,3,34,-13.273,-2
COD,CAF,K,660.972,36,690.226,4,35,29.255,1
TUN,CAF,F,667.553,35,645.324,3,36,-22.229,-1
UZB,AFC,K,608.785,37,590.91,3,37,-17.875,0
IRQ,AFC,I,567.402,39,561.041,3,38,-6.36,1
QAT,AFC,B,580.797,38,551.855,3,39,-28.942,-1
RSA,CAF,A,507.903,40,536.072,4,40,28.17,0
KSA,AFC,H,492.945,41,499.76,3,41,6.815,0
BIH,UEFA,B,371.088,43,414.191,4,42,43.102,1
JOR,AFC,J,372.817,42,371.335,3,43,-1.482,-1
CPV,CAF,H,317.539,44,347.911,3,44,30.372,0
GHA,CAF,L,236.999,45,273.853,3,45,36.854,0
CUW,CONCACAF,E,63.787,46,75.823,3,46,12.036,0
HAI,CONCACAF,C,58.236,47,57.784,3,47,-0.452,0
NZL,OFC,G,0,48,12.281,3,48,12.281,0
