id_partido,fecha,fase,sede,local_codigo,local_nombre,gf_local,visita_codigo,visita_nombre,gf_visita,resuelto_por
1,2026-06-11,grupos,Mexico City,MEX,Mexico,2,RSA,South Africa,0,ft
2,2026-06-11,grupos,Guadalajara (Zapopan),KOR,South Korea,2,CZE,Czech Republic,1,ft
3,2026-06-18,grupos,Atlanta,CZE,Czech Republic,1,RSA,South Africa,1,ft
4,2026-06-18,grupos,Guadalajara (Zapopan),MEX,Mexico,1,KOR,South Korea,0,ft
5,2026-06-24,grupos,Mexico City,CZE,Czech Republic,0,MEX,Mexico,3,ft
6,2026-06-24,grupos,Monterrey (Guadalupe),RSA,South Africa,1,KOR,South Korea,0,ft
7,2026-06-12,grupos,Toronto,CAN,Canada,1,BIH,Bosnia & Herzegovina,1,ft
8,2026-06-13,grupos,San Francisco Bay Area (Santa Clara),QAT,Qatar,1,SUI,Switzerland,1,ft
9,2026-06-18,grupos,Los Angeles (Inglewood),SUI,Switzerland,4,BIH,Bosnia & Herzegovina,1,ft
10,2026-06-18,grupos,Vancouver,CAN,Canada,6,QAT,Qatar,0,ft
11,2026-06-24,grupos,Vancouver,SUI,Switzerland,2,CAN,Canada,1,ft
12,2026-06-24,grupos,Seattle,BIH,Bosnia & Herzegovina,3,QAT,Qatar,1,ft
13,2026-06-13,grupos,New York/New Jersey (East Rutherford),BRA,Brazil,1,MAR,Morocco,1,ft
14,2026-06-13,grupos,Boston (Foxborough),HAI,Haiti,0,SCO,Scotland,1,ft
15,2026-06-19,grupos,Boston (Foxborough),SCO,Scotland,0,MAR,Morocco,1,ft
16,2026-06-19,grupos,Philadelphia,BRA,Brazil,3,HAI,Haiti,0,ft
17,2026-06-24,grupos,Miami (Miami Gardens),SCO,Scotland,0,BRA,Brazil,3,ft
18,2026-06-24,grupos,Atlanta,MAR,Morocco,4,HAI,Haiti,2,ft
19,2026-06-12,grupos,Los Angeles (Inglewood),USA,USA,4,PAR,Paraguay,1,ft
20,2026-06-13,grupos,Vancouver,AUS,Australia,2,TUR,Turkey,0,ft
21,2026-06-19,grupos,Seattle,USA,USA,2,AUS,Australia,0,ft
22,2026-06-19,grupos,San Francisco Bay Area (Santa Clara),TUR,Turkey,0,PAR,Paraguay,1,ft
23,2026-06-25,grupos,Los Angeles (Inglewood),TUR,Turkey,3,USA,USA,2,ft
24,2026-06-25,grupos,San Francisco Bay Area (Santa Clara),PAR,Paraguay,0,AUS,Australia,0,ft
25,2026-06-14,grupos,Houston,GER,Germany,7,CUW,Curaçao,1,ft
26,2026-06-14,grupos,Philadelphia,CIV,Ivory Coast,1,ECU,Ecuador,0,ft
27,2026-06-20,grupos,Toronto,GER,Germany,2,CIV,Ivory Coast,1,ft
28,2026-06-20,grupos,Kansas City,ECU,Ecuador,0,CUW,Curaçao,0,ft
29,2026-06-25,grupos,Philadelphia,CUW,Curaçao,0,CIV,Ivory Coast,2,ft
30,2026-06-25,grupos,New York/New Jersey (East Rutherford),ECU,Ecuador,2,GER,Germany,1,ft
31,2026-06-14,grupos,Dallas (Arlington),NED,Netherlands,2,JPN,Japan,2,ft
32,2026-06-14,grupos,Monterrey (Guadalupe),SWE,Sweden,5,TUN,Tunisia,1,ft
33,2026-06-20,grupos,Houston,NED,Netherlands,5,SWE,Sweden,1,ft
34,2026-06-20,grupos,Monterrey (Guadalupe),TUN,Tunisia,0,JPN,Japan,4,ft
35,2026-06-25,grupos,Dallas (Arlington),JPN,Japan,1,SWE,Sweden,1,ft
36,2026-06-25,grupos,Kansas City,TUN,Tunisia,1,NED,Netherlands,3,ft
37,2026-06-15,grupos,Seattle,BEL,Belgium,1,EGY,Egypt,1,ft
38,2026-06-15,grupos,Los Angeles (Inglewood),IRN,Iran,2,NZL,New Zealand,2,ft
39,2026-06-21,grupos,Los Angeles (Inglewood),BEL,Belgium,0,IRN,Iran,0,ft
40,2026-06-21,grupos,Vancouver,NZL,New Zealand,1,EGY,Egypt,3,ft
41,2026-06-26,grupos,Seattle,EGY,Egypt,1,IRN,Iran,1,ft
42,2026-06-26,grupos,Vancouver,NZL,New Zealand,1,BEL,Belgium,5,ft
43,2026-06-15,grupos,Atlanta,ESP,Spain,0,CPV,Cape Verde,0,ft
44,2026-06-15,grupos,Miami (Miami Gardens),KSA,Saudi Arabia,1,URU,Uruguay,1,ft
45,2026-06-21,grupos,Atlanta,ESP,Spain,4,KSA,Saudi Arabia,0,ft
46,2026-06-21,grupos,Miami (Miami Gardens),URU,Uruguay,2,CPV,Cape Verde,2,ft
47,2026-06-26,grupos,Houston,CPV,Cape Verde,0,KSA,Saudi Arabia,0,ft
48,2026-06-26,grupos,Guadalajara (Zapopan),URU,Uruguay,0,ESP,Spain,1,ft
49,2026-06-16,grupos,New York/New Jersey (East Rutherford),FRA,France,3,SEN,Senegal,1,ft
50,2026-06-16,grupos,Boston (Foxborough),IRQ,Iraq,1,NOR,Norway,4,ft
51,2026-06-22,grupos,Philadelphia,FRA,France,3,IRQ,Iraq,0,ft
52,2026-06-22,grupos,New York/New Jersey (East Rutherford),NOR,Norway,3,SEN,Senegal,2,ft
53,2026-06-26,grupos,Boston (Foxborough),NOR,Norway,1,FRA,France,4,ft
54,2026-06-26,grupos,Toronto,SEN,Senegal,5,IRQ,Iraq,0,ft
55,2026-06-16,grupos,Kansas City,ARG,Argentina,3,ALG,Algeria,0,ft
56,2026-06-16,grupos,San Francisco Bay Area (Santa Clara),AUT,Austria,3,JOR,Jordan,1,ft
57,2026-06-22,grupos,Dallas (Arlington),ARG,Argentina,2,AUT,Austria,0,ft
58,2026-06-22,grupos,San Francisco Bay Area (Santa Clara),JOR,Jordan,1,ALG,Algeria,2,ft
59,2026-06-27,grupos,Kansas City,ALG,Algeria,3,AUT,Austria,3,ft
60,2026-06-27,grupos,Dallas (Arlington),JOR,Jordan,1,ARG,Argentina,3,ft
61,2026-06-17,grupos,Houston,POR,Portugal,1,COD,DR Congo,1,ft
62,2026-06-17,grupos,Mexico City,UZB,Uzbekistan,1,COL,Colombia,3,ft
63,2026-06-23,grupos,Houston,POR,Portugal,5,UZB,Uzbekistan,0,ft
64,2026-06-23,grupos,Guadalajara (Zapopan),COL,Colombia,1,COD,DR Congo,0,ft
65,2026-06-27,grupos,Miami (Miami Gardens),COL,Colombia,0,POR,Portugal,0,ft
66,2026-06-27,grupos,Atlanta,COD,DR Congo,3,UZB,Uzbekistan,1,ft
67,2026-06-17,grupos,Dallas (Arlington),ENG,England,4,CRO,Croatia,2,ft
68,2026-06-17,grupos,Toronto,GHA,Ghana,1,PAN,Panama,0,ft
69,2026-06-23,grupos,Boston (Foxborough),ENG,England,0,GHA,Ghana,0,ft
70,2026-06-23,grupos,Toronto,PAN,Panama,0,CRO,Croatia,1,ft
71,2026-06-27,grupos,New York/New Jersey (East Rutherford),PAN,Panama,0,ENG,England,2,ft
72,2026-06-27,grupos,Philadelphia,CRO,Croatia,2,GHA,Ghana,1,ft
73,2026-06-28,dieciseisavos,Los Angeles (Inglewood),RSA,South Africa,0,CAN,Canada,1,ft
74,2026-06-29,dieciseisavos,Boston (Foxborough),GER,Germany,3,PAR,Paraguay,4,p
75,2026-06-29,dieciseisavos,Monterrey (Guadalupe),NED,Netherlands,2,MAR,Morocco,3,p
76,2026-06-29,dieciseisavos,Houston,BRA,Brazil,2,JPN,Japan,1,ft
77,2026-06-30,dieciseisavos,New York/New Jersey (East Rutherford),FRA,France,3,SWE,Sweden,0,ft
78,2026-06-30,dieciseisavos,Dallas (Arlington),CIV,Ivory Coast,1,NOR,Norway,2,ft
79,2026-06-30,dieciseisavos,Mexico City,MEX,Mexico,2,ECU,Ecuador,0,ft
80,2026-07-01,dieciseisavos,Atlanta,ENG,England,2,COD,DR Congo,1,ft
81,2026-07-01,dieciseisavos,San Francisco Bay Area (Santa Clara),USA,USA,2,BIH,Bosnia & Herzegovina,0,ft
82,2026-07-01,dieciseisavos,Seattle,BEL,Belgium,3,SEN,Senegal,2,et
83,2026-07-02,dieciseisavos,Toronto,POR,Portugal,2,CRO,Croatia,1,ft
84,2026-07-02,dieciseisavos,Los Angeles (Inglewood),ESP,Spain,3,AUT,Austria,0,ft
85,2026-07-02,dieciseisavos,Vancouver,SUI,Switzerland,2,ALG,Algeria,0,ft
86,2026-07-03,dieciseisavos,Miami (Miami Gardens),ARG,Argentina,3,CPV,Cape Verde,2,et
87,2026-07-03,dieciseisavos,Kansas City,COL,Colombia,1,GHA,Ghana,0,ft
88,2026-07-03,dieciseisavos,Dallas (Arlington),AUS,Australia,2,EGY,Egypt,4,p
89,2026-07-04,octavos,Philadelphia,PAR,Paraguay,0,FRA,France,1,ft
90,2026-07-04,octavos,Houston,CAN,Canada,0,MAR,Morocco,3,ft
